COD,Unnamed: 1,ÁREA,C.C,DATA,HORA
882,,Operações (tvca),8115,16/07/25,0 days 18:11:00.001000
1565,,Manutenção (tvca),8121,16/07/25,0 days 18:11:59.997000
2179,,Manutenção (tvca),8121,16/07/25,0 days 18:13:00.002000
1980,,Edição de Imagem (tvca),8115,16/07/25,0 days 18:15:59.999000
2163,,Edição de Imagem (tvca),8115,16/07/25,0 days 18:15:59.999000
1805,,Cinegrafia (tvca),8115,16/07/25,0 days 18:17:00.004000
2070,,Jorn 2ª Edição (tvca),8115,16/07/25,0 days 18:27:59.996000
2077,,Edição de Imagem (tvca),8115,16/07/25,0 days 18:27:59.996000
2271,,Central Cast (tvca),8114,16/07/25,0 days 18:31:00.002000
1072,,Cinegrafia (tvca),8115,16/07/25,0 days 18:33:00.003000
7,,Locução (fmca),6914,16/07/25,0 days 18:33:00.003000
149,,Reportagem (fmca),6915,16/07/25,0 days 18:47:00.001000
1575,,Cinegrafia (tvca),8115,16/07/25,0 days 18:53:00.004000
144,,Produção (ptal mt),6515,16/07/25,0 days 18:53:00.004000
2287,,Jorn Bom Dia (tvca),8115,16/07/25,0 days 18:58:00.002000
2246,,Produção (tvca),8115,16/07/25,0 days 19:00:59.999000
2262,,Chefia Reportagem (tvca),8115,16/07/25,0 days 19:00:59.999000
1769,,Jorn Bom Dia (tvca),8115,16/07/25,0 days 19:03:59.996000
1734,,Central Cast (tvca),8114,16/07/25,0 days 19:05:59.997000
2162,,Artes (tvca),8114,16/07/25,0 days 19:09:59.999000
1970,,On line (MT),8515,16/07/25,0 days 19:11:00.004000
154,,Produção (ptal mt),6515,16/07/25,0 days 19:34:59.998000
1805,,Cinegrafia (tvca),8115,17/07/25,0 days 17:28:00.002000
2284,,Central Cast (tvca),8114,17/07/25,0 days 18:13:00.002000
2179,,Manutenção (tvca),8121,17/07/25,0 days 18:35:00.004000
7,,Locução (fmca),6914,17/07/25,0 days 18:35:00.004000
2162,,Artes (tvca),8114,17/07/25,0 days 18:40:00.002000
882,,Operações (tvca),8115,17/07/25,0 days 18:42:59.999000
1765,,Cinegrafia (tvca),8115,17/07/25,0 days 18:42:59.999000
1805,,Cinegrafia (tvca),8115,17/07/25,0 days 18:44:00.004000
2077,,Edição de Imagem (tvca),8115,17/07/25,0 days 18:44:00.004000
2246,,Produção (tvca),8115,17/07/25,0 days 18:44:00.004000
1980,,Edição de Imagem (tvca),8115,17/07/25,0 days 18:45:00
2070,,Jorn 2ª Edição (tvca),8115,17/07/25,0 days 18:45:00
1565,,Manutenção (tvca),8121,17/07/25,0 days 18:45:59.996000
1575,,Cinegrafia (tvca),8115,17/07/25,0 days 18:45:59.996000
2287,,Jorn Bom Dia (tvca),8115,17/07/25,0 days 18:47:00.001000
2206,,Edição de Imagem (tvca),8115,17/07/25,0 days 18:51:59.999000
2242,,Reportagem (tvca),8115,17/07/25,0 days 18:53:00.004000
2262,,Chefia Reportagem (tvca),8115,17/07/25,0 days 18:53:00.004000
1769,,Jorn Bom Dia (tvca),8115,17/07/25,0 days 18:54:59.996000
2255,,Central Cast (tvca),8114,17/07/25,0 days 18:58:59.998000
1072,,Cinegrafia (tvca),8115,17/07/25,0 days 19:07:00.002000
1970,,On line (MT),8515,17/07/25,0 days 19:14:00.001000
1734,,Central Cast (tvca),8114,17/07/25,0 days 19:21:59.996000
1821,,Artes (tvca),8114,17/07/25,0 days 19:23:00.001000
154,,Produção (ptal mt),6515,17/07/25,0 days 19:27:59.999000
1072,,Cinegrafia (tvca),8115,18/07/25,0 days 18:35:00.004000
7,,Locução (fmca),6914,18/07/25,0 days 18:35:00.004000
1805,,Cinegrafia (tvca),8115,18/07/25,0 days 18:36:59.996000
1565,,Manutenção (tvca),8121,18/07/25,0 days 18:38:00.001000
2179,,Manutenção (tvca),8121,18/07/25,0 days 18:38:00.001000
1980,,Edição de Imagem (tvca),8115,18/07/25,0 days 18:40:59.998000
2163,,Edição de Imagem (tvca),8115,18/07/25,0 days 18:40:59.998000
882,,Operações (tvca),8115,18/07/25,0 days 18:45:00
2070,,Jorn 2ª Edição (tvca),8115,18/07/25,0 days 18:45:00
2077,,Edição de Imagem (tvca),8115,18/07/25,0 days 18:47:00.001000
2246,,Produção (tvca),8115,18/07/25,0 days 18:51:59.999000
1970,,On line (MT),8515,18/07/25,0 days 18:54:00
71,,Chefia Reportagem (ptal mt),6515,18/07/25,0 days 18:54:00
148,,Produção (ptal mt),6515,18/07/25,0 days 18:54:00
2255,,Central Cast (tvca),8114,18/07/25,0 days 18:56:59.997000
1575,,Cinegrafia (tvca),8115,18/07/25,0 days 19:14:00.001000
1821,,Artes (tvca),8114,18/07/25,0 days 19:20:00.004000
1497,,Central Cast (tvca),8114,18/07/25,0 days 19:23:59.997000
1734,,Central Cast (tvca),8114,18/07/25,0 days 19:45:59.999000
2271,,Central Cast (tvca),8114,21/07/25,0 days 18:24:00.003000
1565,,Manutenção (tvca),8121,21/07/25,0 days 18:35:00.004000
7,,Locução (fmca),6914,21/07/25,0 days 18:35:00.004000
1072,,Cinegrafia (tvca),8115,21/07/25,0 days 18:38:00.001000
1765,,Cinegrafia (tvca),8115,21/07/25,0 days 18:38:00.001000
2179,,Manutenção (tvca),8121,21/07/25,0 days 18:40:00.002000
2163,,Edição de Imagem (tvca),8115,21/07/25,0 days 18:40:59.998000
148,,Produção (ptal mt),6515,21/07/25,0 days 18:42:00.003000
154,,Produção (ptal mt),6515,21/07/25,0 days 18:42:00.003000
882,,Operações (tvca),8115,21/07/25,0 days 18:45:59.996000
2206,,Edição de Imagem (tvca),8115,21/07/25,0 days 18:45:59.996000
2242,,Reportagem (tvca),8115,21/07/25,0 days 18:45:59.996000
2287,,Jorn Bom Dia (tvca),8115,21/07/25,0 days 18:45:59.996000
1980,,Edição de Imagem (tvca),8115,21/07/25,0 days 18:47:59.997000
2070,,Jorn 2ª Edição (tvca),8115,21/07/25,0 days 18:47:59.997000
2246,,Produção (tvca),8115,21/07/25,0 days 18:47:59.997000
1805,,Cinegrafia (tvca),8115,21/07/25,0 days 18:49:00.002000
1769,,Jorn Bom Dia (tvca),8115,21/07/25,0 days 18:49:59.998000
1575,,Cinegrafia (tvca),8115,21/07/25,0 days 18:51:59.999000
2255,,Central Cast (tvca),8114,21/07/25,0 days 18:56:59.997000
627,,Central Cast (tvca),8114,21/07/25,0 days 19:12:00
1970,,On line (MT),8515,21/07/25,0 days 19:14:00.001000
144,,Produção (ptal mt),6515,21/07/25,0 days 19:18:59.999000
7,,Locução (fmca),6914,22/07/25,0 days 18:33:00.003000
1821,,Artes (tvca),8114,22/07/25,0 days 18:38:00.001000
2162,,Artes (tvca),8114,22/07/25,0 days 18:38:00.001000
2174,,Artes (tvca),8114,22/07/25,0 days 18:38:00.001000
2179,,Manutenção (tvca),8121,22/07/25,0 days 18:38:00.001000
2163,,Edição de Imagem (tvca),8115,22/07/25,0 days 18:45:59.996000
2242,,Reportagem (tvca),8115,22/07/25,0 days 18:45:59.996000
2287,,Jorn Bom Dia (tvca),8115,22/07/25,0 days 18:45:59.996000
1980,,Edição de Imagem (tvca),8115,22/07/25,0 days 18:47:00.001000
2246,,Produção (tvca),8115,22/07/25,0 days 18:47:00.001000
2271,,Central Cast (tvca),8114,22/07/25,0 days 18:47:59.997000
2206,,Edição de Imagem (tvca),8115,22/07/25,0 days 18:49:00.002000
1072,,Cinegrafia (tvca),8115,22/07/25,0 days 18:51:00.003000
1082,,Programas (tvca),8114,22/07/25,0 days 18:51:00.003000
1805,,Cinegrafia (tvca),8115,22/07/25,0 days 18:51:00.003000
882,,Operações (tvca),8115,22/07/25,0 days 18:53:00.004000
2070,,Jorn 2ª Edição (tvca),8115,22/07/25,0 days 18:56:59.997000
1769,,Jorn Bom Dia (tvca),8115,22/07/25,0 days 19:02:00.004000
1970,,On line (MT),8515,22/07/25,0 days 19:03:59.996000
1575,,Cinegrafia (tvca),8115,22/07/25,0 days 19:05:00.001000
1734,,Central Cast (tvca),8114,22/07/25,0 days 19:20:00.004000
154,,Produção (ptal mt),6515,22/07/25,0 days 19:25:00.002000
2264,,Esporte (tvca),8115,22/07/25,0 days 19:32:00.001000
2179,,Manutenção (tvca),8121,23/07/25,0 days 18:11:59.997000
1980,,Edição de Imagem (tvca),8115,23/07/25,0 days 18:15:59.999000
2163,,Edição de Imagem (tvca),8115,23/07/25,0 days 18:15:59.999000
2206,,Edição de Imagem (tvca),8115,23/07/25,0 days 18:15:59.999000
2070,,Jorn 2ª Edição (tvca),8115,23/07/25,0 days 18:31:59.998000
2242,,Reportagem (tvca),8115,23/07/25,0 days 18:31:59.998000
2246,,Produção (tvca),8115,23/07/25,0 days 18:31:59.998000
2262,,Chefia Reportagem (tvca),8115,23/07/25,0 days 18:31:59.998000
1821,,Artes (tvca),8114,23/07/25,0 days 18:35:00.004000
2174,,Artes (tvca),8114,23/07/25,0 days 18:35:00.004000
2271,,Central Cast (tvca),8114,23/07/25,0 days 18:35:00.004000
7,,Locução (fmca),6914,23/07/25,0 days 18:36:00
1082,,Programas (tvca),8114,23/07/25,0 days 18:38:00.001000
1575,,Cinegrafia (tvca),8115,23/07/25,0 days 18:42:00.003000
1661,,Cinegrafia (tvca),8115,23/07/25,0 days 18:42:00.003000
148,,Produção (ptal mt),6515,23/07/25,0 days 18:45:00
2287,,Jorn Bom Dia (tvca),8115,23/07/25,0 days 18:47:59.997000
2270,,Esporte (tvca),8115,23/07/25,0 days 18:51:59.999000
2255,,Central Cast (tvca),8114,23/07/25,0 days 18:53:00.004000
2162,,Artes (tvca),8114,23/07/25,0 days 18:58:00.002000
53,,Gerência Entret. Program. (fmca),6914,23/07/25,0 days 18:58:59.998000
1734,,Central Cast (tvca),8114,23/07/25,0 days 19:20:00.004000
1970,,On line (MT),8515,23/07/25,0 days 19:39:59.996000
2019,,Edição de Imagem (tvca),8115,24/07/25,0 days 17:08:00.001000
2284,,Central Cast (tvca),8114,24/07/25,0 days 18:02:59.997000
882,,Operações (tvca),8115,24/07/25,0 days 18:17:00.004000
7,,Locução (fmca),6914,24/07/25,0 days 18:36:00
2179,,Manutenção (tvca),8121,24/07/25,0 days 18:40:59.998000
2206,,Edição de Imagem (tvca),8115,24/07/25,0 days 18:40:59.998000
1980,,Edição de Imagem (tvca),8115,24/07/25,0 days 18:42:00.003000
2163,,Edição de Imagem (tvca),8115,24/07/25,0 days 18:42:00.003000
2070,,Jorn 2ª Edição (tvca),8115,24/07/25,0 days 18:47:59.997000
2077,,Edição de Imagem (tvca),8115,24/07/25,0 days 18:47:59.997000
1805,,Cinegrafia (tvca),8115,24/07/25,0 days 18:53:00.004000
1765,,Cinegrafia (tvca),8115,24/07/25,0 days 18:54:00
1575,,Cinegrafia (tvca),8115,24/07/25,0 days 19:05:00.001000
2246,,Produção (tvca),8115,24/07/25,0 days 19:05:00.001000
